"index,ATC.code,Name,DDD,U,Adm.R,Note"
"0,A,ALIMENTARY TRACT AND METABOLISM,NaN,NaN,NaN,NaN"
"1,A01,STOMATOLOGICAL PREPARATIONS,NaN,NaN,NaN,NaN"
"2,A01A,STOMATOLOGICAL PREPARATIONS,NaN,NaN,NaN,NaN"
"3,A01AA,Caries prophylactic agents,NaN,NaN,NaN,NaN"
"4,A01AA01,sodium fluoride,1.1,mg,O,0.5 mg fluoride"
"5,A01AA02,sodium monofluorophosphate,NaN,NaN,NaN,NaN"
"6,A01AA03,olaflur,1.1,mg,O,NaN"
"7,A01AA04,stannous fluoride,NaN,NaN,NaN,NaN"
"8,A01AA30,combinations,NaN,NaN,NaN,NaN"
"10,A01AB,Antiinfectives and antiseptics for local oral treatment,NaN,NaN,NaN,NaN"
"11,A01AB02,hydrogen peroxide,60.0,mg,O,NaN"
"12,A01AB03,chlorhexidine,30.0,mg,O,NaN"
"13,A01AB04,amphotericin B,40.0,mg,O,NaN"
"14,A01AB05,polynoxylin,0.18,g,O,NaN"
"15,A01AB06,domiphen,3.0,mg,O,NaN"
"16,A01AB07,oxyquinoline,80.0,mg,O,NaN"
"17,A01AB08,neomycin,NaN,NaN,NaN,NaN"
"18,A01AB09,miconazole,0.2,g,O,NaN"
"19,A01AB10,natamycin,20.0,mg,O,NaN"
"20,A01AB11,various,NaN,NaN,NaN,NaN"
"21,A01AB12,hexetidine,NaN,NaN,NaN,NaN"
"22,A01AB13,tetracycline,NaN,NaN,NaN,NaN"
"23,A01AB14,benzoxonium chloride,NaN,NaN,NaN,NaN"
"24,A01AB15,tibezonium iodide,NaN,NaN,NaN,NaN"
"25,A01AB16,mepartricin,NaN,NaN,NaN,NaN"
"26,A01AB17,metronidazole,NaN,NaN,NaN,NaN"
"27,A01AB18,clotrimazole,NaN,NaN,NaN,NaN"
"28,A01AB19,sodium perborate,NaN,NaN,NaN,NaN"
"29,A01AB21,chlortetracycline,NaN,NaN,NaN,NaN"
"30,A01AB22,doxycycline,NaN,NaN,NaN,NaN"
"31,A01AB23,minocycline,1.0,mg,O,NaN"
"32,A01AB24,octenidine,NaN,NaN,NaN,NaN"
"33,A01AB25,oxytetracycline,NaN,NaN,NaN,NaN"
"34,A01AC,Corticosteroids for local oral treatment,NaN,NaN,NaN,NaN"
"35,A01AC01,triamcinolone,NaN,NaN,NaN,NaN"
"36,A01AC02,dexamethasone,NaN,NaN,NaN,NaN"
"37,A01AC03,hydrocortisone,NaN,NaN,NaN,NaN"
"38,A01AC04,prednisolone,NaN,NaN,NaN,NaN"
"40,A01AD,Other agents for local oral treatment,NaN,NaN,NaN,NaN"
